category,budget,position,needle,condition,preserved,needle_selected,candidate_count,selected_candidates
request_explicit,10,76,req-0076,user_only,False,False,0,
request_explicit,10,76,req-0076,naive,True,True,16,req-0274 req-0447 req-0095 req-0356 req-0244 req-0086 req-0053 req-0212 req-0076 req-0425 req-0280 req-0103 req-0072 req-0098 req-0392 req-0123
request_explicit,10,76,req-0076,bridge,True,True,6,req-0076 req-0123 req-0392 req-0098 req-0072 req-0103
request_explicit,10,76,req-0076,oracle,True,True,1,req-0076
request_explicit,10,187,req-0187,user_only,False,False,0,
request_explicit,10,187,req-0187,naive,True,True,16,req-0114 req-0060 req-0200 req-0271 req-0344 req-0295 req-0185 req-0291 req-0187 req-0068 req-0444 req-0207 req-0226 req-0318 req-0298 req-0155
request_explicit,10,187,req-0187,bridge,True,True,6,req-0187 req-0155 req-0298 req-0318 req-0226 req-0207
request_explicit,10,187,req-0187,oracle,True,True,1,req-0187
request_explicit,10,94,req-0094,user_only,False,False,0,
request_explicit,10,94,req-0094,naive,True,True,16,req-0362 req-0378 req-0320 req-0340 req-0212 req-0056 req-0254 req-0444 req-0094 req-0381 req-0313 req-0273 req-0401 req-0326 req-0377 req-0392
request_explicit,10,94,req-0094,bridge,True,True,6,req-0094 req-0392 req-0377 req-0326 req-0401 req-0273
request_explicit,10,94,req-0094,oracle,True,True,1,req-0094
request_explicit,10,443,req-0443,user_only,False,False,0,
request_explicit,10,443,req-0443,naive,False,True,16,req-0355 req-0298 req-0316 req-0392 req-0264 req-0241 req-0311 req-0066 req-0443 req-0436 req-0380 req-0142 req-0421 req-0092 req-0299 req-0386
request_explicit,10,443,req-0443,bridge,True,True,6,req-0443 req-0386 req-0299 req-0092 req-0421 req-0142
request_explicit,10,443,req-0443,oracle,True,True,1,req-0443
request_explicit,10,258,req-0258,user_only,False,False,0,
request_explicit,10,258,req-0258,naive,False,True,16,req-0184 req-0137 req-0221 req-0222 req-0334 req-0250 req-0087 req-0421 req-0258 req-0284 req-0248 req-0344 req-0449 req-0058 req-0146 req-0351
request_explicit,10,258,req-0258,bridge,True,True,6,req-0258 req-0351 req-0146 req-0058 req-0449 req-0344
request_explicit,10,258,req-0258,oracle,True,True,1,req-0258
request_explicit,10,186,req-0186,user_only,False,False,0,
request_explicit,10,186,req-0186,naive,True,True,16,req-0095 req-0372 req-0237 req-0056 req-0231 req-0167 req-0258 req-0323 req-0186 req-0307 req-0421 req-0080 req-0378 req-0198 req-0304 req-0442
request_explicit,10,186,req-0186,bridge,True,True,6,req-0186 req-0442 req-0304 req-0198 req-0378 req-0080
request_explicit,10,186,req-0186,oracle,True,True,1,req-0186
request_explicit,10,105,req-0105,user_only,False,False,0,
request_explicit,10,105,req-0105,naive,True,True,16,req-0373 req-0419 req-0170 req-0329 req-0298 req-0141 req-0129 req-0325 req-0105 req-0278 req-0244 req-0435 req-0287 req-0072 req-0055 req-0119
request_explicit,10,105,req-0105,bridge,True,True,6,req-0105 req-0119 req-0055 req-0072 req-0287 req-0435
request_explicit,10,105,req-0105,oracle,True,True,1,req-0105
request_explicit,10,69,req-0069,user_only,False,False,0,
request_explicit,10,69,req-0069,naive,True,True,16,req-0284 req-0149 req-0060 req-0182 req-0231 req-0401 req-0190 req-0273 req-0069 req-0375 req-0266 req-0050 req-0106 req-0367 req-0083 req-0312
request_explicit,10,69,req-0069,bridge,True,True,6,req-0069 req-0312 req-0083 req-0367 req-0106 req-0050
request_explicit,10,69,req-0069,oracle,True,True,1,req-0069
request_explicit,10,244,req-0244,user_only,False,False,0,
request_explicit,10,244,req-0244,naive,False,True,16,req-0231 req-0413 req-0095 req-0092 req-0272 req-0054 req-0325 req-0243 req-0244 req-0087 req-0330 req-0406 req-0376 req-0257 req-0064 req-0215
request_explicit,10,244,req-0244,bridge,True,True,6,req-0244 req-0215 req-0064 req-0257 req-0376 req-0406
request_explicit,10,244,req-0244,oracle,True,True,1,req-0244
request_explicit,10,324,req-0324,user_only,False,False,0,
request_explicit,10,324,req-0324,naive,False,True,16,req-0184 req-0291 req-0066 req-0435 req-0338 req-0221 req-0262 req-0228 req-0324 req-0062 req-0378 req-0376 req-0133 req-0264 req-0082 req-0418
request_explicit,10,324,req-0324,bridge,True,True,6,req-0324 req-0418 req-0082 req-0264 req-0133 req-0376
request_explicit,10,324,req-0324,oracle,True,True,1,req-0324
request_explicit,10,337,req-0337,user_only,False,False,0,
request_explicit,10,337,req-0337,naive,False,True,16,req-0398 req-0123 req-0240 req-0393 req-0170 req-0431 req-0090 req-0372 req-0337 req-0079 req-0439 req-0315 req-0248 req-0325 req-0206 req-0124
request_explicit,10,337,req-0337,bridge,True,True,6,req-0337 req-0124 req-0206 req-0325 req-0248 req-0315
request_explicit,10,337,req-0337,oracle,True,True,1,req-0337
request_explicit,10,220,req-0220,user_only,False,False,0,
